age,ischild,parch,pclass,sex,sibsp,survived,tarifa,embarked_q,embarked_s
38.0,0,0,1,1,1,1,71.2833,False,False
26.0,0,0,3,1,0,1,7.925,False,True
35.0,0,0,1,1,1,1,53.1,False,True
35.0,0,0,3,0,0,0,8.05,False,True
28.0,0,0,3,0,0,0,8.4583,True,False
2.0,1,1,3,0,3,0,21.075,False,True
27.0,0,2,3,1,0,1,11.1333,False,True
14.0,0,0,2,1,1,1,30.0708,False,False
4.0,1,1,3,1,1,1,16.7,False,True
58.0,0,0,1,1,0,1,26.55,False,True
20.0,0,0,3,0,0,0,8.05,False,True
39.0,0,5,3,0,1,0,31.275,False,True
14.0,0,0,3,1,0,0,7.8542,False,True
55.0,0,0,2,1,0,1,16.0,False,True
2.0,1,1,3,0,4,0,29.125,True,False
28.0,0,0,2,0,0,1,13.0,False,True
31.0,0,0,3,1,1,0,18.0,False,True
28.0,0,0,3,1,0,1,7.225,False,False
35.0,0,0,2,0,0,0,26.0,False,True
34.0,0,0,2,0,0,1,13.0,False,True
15.0,0,0,3,1,0,1,8.0292,True,False
28.0,0,0,1,0,0,1,35.5,False,True
8.0,1,1,3,1,3,0,21.075,False,True
38.0,0,5,3,1,1,1,31.3875,False,True
28.0,0,0,3,0,0,0,7.225,False,False
19.0,0,2,1,0,3,0,263.0,False,True
28.0,0,0,3,1,0,1,7.8792,True,False
28.0,0,0,3,0,0,0,7.8958,False,True
40.0,0,0,1,0,0,0,27.7208,False,False
28.0,0,0,1,1,1,1,146.5208,False,False
28.0,0,0,3,1,0,1,7.75,True,False
66.0,0,0,2,0,0,0,10.5,False,True
28.0,0,0,1,0,1,0,82.1708,False,False
42.0,0,0,1,0,1,0,52.0,False,True
28.0,0,0,3,0,0,1,7.2292,False,False
21.0,0,0,3,0,0,0,8.05,False,True
18.0,0,0,3,1,2,0,18.0,False,True
14.0,0,0,3,1,1,1,11.2417,False,False
40.0,0,0,3,1,1,0,9.475,False,True
27.0,0,0,2,1,1,0,21.0,False,True
28.0,0,0,3,0,0,0,7.8958,False,False
3.0,1,2,2,1,1,1,41.5792,False,False
19.0,0,0,3,1,0,1,7.8792,True,False
28.0,0,0,3,0,0,0,8.05,False,True
28.0,0,0,3,0,1,0,15.5,True,False
28.0,0,0,3,0,2,0,21.6792,False,False
18.0,0,0,3,1,1,0,17.8,False,True
7.0,1,1,3,0,4,0,39.6875,False,True
21.0,0,0,3,0,0,0,7.8,False,True
49.0,0,0,1,1,1,1,76.7292,False,False
29.0,0,0,2,1,1,1,26.0,False,True
65.0,0,1,1,0,0,0,61.9792,False,False
21.0,0,0,2,1,0,1,10.5,False,True
28.5,0,0,3,0,0,0,7.2292,False,False
5.0,1,2,2,1,1,1,27.75,False,True
11.0,1,2,3,0,5,0,46.9,False,True
22.0,0,0,3,0,0,0,7.2292,False,False
38.0,0,0,1,1,0,1,80.0,False,True
45.0,0,0,1,0,1,0,83.475,False,True
4.0,1,2,3,0,3,0,27.9,False,True
28.0,0,0,1,0,0,0,27.7208,False,False
28.0,0,1,3,0,1,1,15.2458,False,False
29.0,0,0,2,1,0,1,10.5,False,True
19.0,0,0,3,0,0,0,8.1583,False,True
17.0,0,2,3,1,4,1,7.925,False,True
26.0,0,0,3,0,2,0,8.6625,False,True
32.0,0,0,2,0,0,0,10.5,False,True
16.0,0,2,3,1,5,0,46.9,False,True
21.0,0,0,2,0,0,0,73.5,False,True
26.0,0,0,3,0,1,0,14.4542,False,False
32.0,0,0,3,0,0,1,56.4958,False,True
25.0,0,0,3,0,0,0,7.65,False,True
0.83,1,2,2,0,0,1,29.0,False,True
30.0,0,0,3,1,0,1,12.475,False,True
22.0,0,0,3,0,0,0,9.0,False,True
29.0,0,0,3,0,0,1,9.5,False,True
28.0,0,0,3,1,0,1,7.7875,True,False
28.0,0,0,1,0,0,0,47.1,False,True
17.0,0,0,2,1,0,1,10.5,False,True
33.0,0,0,3,1,3,1,15.85,False,True
16.0,0,3,3,0,1,0,34.375,False,True
23.0,0,2,1,1,3,1,263.0,False,True
24.0,0,0,3,0,0,0,8.05,False,True
29.0,0,0,3,0,0,0,8.05,False,True
20.0,0,0,3,0,0,0,7.8542,False,True
46.0,0,0,1,0,1,0,61.175,False,True
26.0,0,2,3,0,1,0,20.575,False,True
59.0,0,0,3,0,0,0,7.25,False,True
71.0,0,0,1,0,0,0,34.6542,False,False
23.0,0,1,1,0,0,1,63.3583,False,False
34.0,0,1,2,1,0,1,23.0,False,True
34.0,0,0,2,0,1,0,26.0,False,True
28.0,0,0,3,1,0,0,7.8958,False,True
21.0,0,1,1,0,0,0,77.2875,False,True
33.0,0,0,3,0,0,0,8.6542,False,True
37.0,0,0,3,0,2,0,7.925,False,True
21.0,0,0,3,1,0,1,7.65,False,True
28.0,0,0,3,0,0,1,7.775,False,True
38.0,0,0,3,0,0,0,7.8958,False,True
28.0,0,0,3,1,1,1,24.15,True,False
47.0,0,0,1,0,0,0,52.0,False,True
14.5,0,0,3,1,1,0,14.4542,False,False
22.0,0,0,3,0,0,0,8.05,False,True
20.0,0,0,3,1,1,0,9.825,False,True
17.0,0,0,3,1,0,0,14.4583,False,False
21.0,0,0,3,0,0,0,7.925,False,True
70.5,0,0,3,0,0,0,7.75,True,False
29.0,0,0,2,0,1,0,21.0,False,True
24.0,0,1,1,0,0,0,247.5208,False,False
2.0,1,2,3,1,4,0,31.275,False,True
21.0,0,0,2,0,2,0,73.5,False,True
32.5,0,0,2,0,1,0,30.0708,False,False
32.5,0,0,2,1,0,1,13.0,False,True
54.0,0,1,1,0,0,0,77.2875,False,True
12.0,0,0,3,0,1,1,11.2417,False,False
28.0,0,0,3,0,0,0,7.75,True,False
24.0,0,0,3,0,0,1,7.1417,False,True
28.0,0,1,3,1,1,1,22.3583,False,False
45.0,0,0,3,0,0,0,6.975,False,True
33.0,0,0,3,0,0,0,7.8958,False,False
20.0,0,0,3,0,0,0,7.05,False,True
47.0,0,0,3,1,1,0,14.5,False,True
25.0,0,0,2,0,0,0,13.0,False,True
23.0,0,0,2,0,0,0,15.0458,False,False
19.0,0,2,1,1,0,1,26.2833,False,True
37.0,0,0,1,0,1,0,53.1,False,True
16.0,0,0,3,0,0,0,9.2167,False,True
24.0,0,0,1,0,0,0,79.2,False,False
28.0,0,2,3,1,0,0,15.2458,False,False
22.0,0,0,3,1,0,1,7.75,False,True
24.0,0,0,3,1,1,1,15.85,False,True
19.0,0,0,3,0,0,0,6.75,True,False
18.0,0,0,2,0,0,0,11.5,False,True
19.0,0,1,2,0,1,0,36.75,False,True
27.0,0,0,3,0,0,1,7.7958,False,True
9.0,1,2,3,1,2,0,34.375,False,True
36.5,0,2,2,0,0,0,26.0,False,True
42.0,0,0,2,0,0,0,13.0,False,True
51.0,0,0,2,0,0,0,12.525,False,True
22.0,0,0,1,1,1,1,66.6,False,True
55.5,0,0,3,0,0,0,8.05,False,True
40.5,0,2,3,0,0,0,14.5,False,True
28.0,0,0,3,0,0,0,7.3125,False,True
51.0,0,1,1,0,0,0,61.3792,False,False
16.0,0,0,3,1,0,1,7.7333,True,False
30.0,0,0,3,0,0,0,8.05,False,True
28.0,0,0,3,0,0,0,8.6625,False,True
28.0,0,2,3,0,8,0,69.55,False,True
44.0,0,1,3,0,0,0,16.1,False,True
40.0,0,0,2,1,0,1,15.75,False,True
26.0,0,0,3,0,0,0,7.775,False,True
17.0,0,0,3,0,0,0,8.6625,False,True
1.0,1,1,3,0,4,0,39.6875,False,True
9.0,1,2,3,0,0,1,20.525,False,True
28.0,0,1,1,1,0,1,55.0,False,True
45.0,0,4,3,1,1,0,27.9,False,True
28.0,0,0,1,0,0,0,25.925,False,True
28.0,0,0,3,0,0,0,56.4958,False,True
61.0,0,0,1,0,0,0,33.5,False,True
4.0,1,1,3,0,4,0,29.125,True,False
1.0,1,1,3,1,1,1,11.1333,False,True
56.0,0,0,1,0,0,0,30.6958,False,False
18.0,0,1,3,0,1,0,7.8542,False,True
28.0,0,1,3,0,3,0,25.4667,False,True
50.0,0,0,1,1,0,0,28.7125,False,False
30.0,0,0,2,0,0,0,13.0,False,True
36.0,0,0,3,0,0,0,0.0,False,True
28.0,0,2,3,1,8,0,69.55,False,True
28.0,0,0,2,0,0,0,15.05,False,False
9.0,1,2,3,0,4,0,31.3875,False,True
1.0,1,1,2,0,2,1,39.0,False,True
4.0,1,2,3,1,0,1,22.025,False,True
28.0,0,0,1,0,0,0,50.0,False,True
28.0,0,0,3,1,1,1,15.5,True,False
45.0,0,0,1,0,0,1,26.55,False,True
40.0,0,1,3,0,1,0,15.5,True,False
36.0,0,0,3,0,0,0,7.8958,False,True
32.0,0,0,2,1,0,1,13.0,False,True
19.0,0,0,2,0,0,0,13.0,False,True
19.0,0,0,3,1,1,1,7.8542,False,True
3.0,1,1,2,0,1,1,26.0,False,True
44.0,0,0,1,1,0,1,27.7208,False,False
58.0,0,0,1,1,0,1,146.5208,False,False
42.0,0,1,3,0,0,0,8.4042,False,True
24.0,0,0,2,1,0,0,13.0,False,True
28.0,0,0,3,0,0,0,9.5,False,True
34.0,0,0,3,0,0,0,6.4958,False,True
45.5,0,0,3,0,0,0,7.225,False,False
18.0,0,0,3,0,0,1,8.05,False,True
2.0,1,1,3,1,0,0,10.4625,False,True
32.0,0,0,3,0,1,0,15.85,False,True
26.0,0,0,3,0,0,1,18.7875,False,False
16.0,0,0,3,1,0,1,7.75,True,False
40.0,0,0,1,0,0,1,31.0,False,False
24.0,0,0,3,0,0,0,7.05,False,True
35.0,0,0,2,1,0,1,21.0,False,True
22.0,0,0,3,0,0,0,7.25,False,True
28.0,0,0,3,0,1,0,7.75,True,False
31.0,0,0,1,1,1,1,113.275,False,False
27.0,0,0,3,1,0,1,7.925,False,True
42.0,0,0,2,0,1,0,27.0,False,True
32.0,0,0,1,1,0,1,76.2917,False,False
30.0,0,0,2,0,0,0,10.5,False,True
16.0,0,0,3,0,0,1,8.05,False,True
27.0,0,0,2,0,0,0,13.0,False,True
51.0,0,0,3,0,0,0,8.05,False,True
38.0,0,0,1,0,1,1,90.0,False,True
22.0,0,0,3,0,0,0,9.35,False,True
19.0,0,0,2,0,0,1,10.5,False,True
20.5,0,0,3,0,0,0,7.25,False,True
18.0,0,0,2,0,0,0,13.0,False,True
28.0,0,1,3,1,3,0,25.4667,False,True
35.0,0,0,1,1,1,1,83.475,False,True
29.0,0,0,3,0,0,0,7.775,False,True
59.0,0,0,2,0,0,0,13.5,False,True
5.0,1,2,3,1,4,1,31.3875,False,True
24.0,0,0,2,0,0,0,10.5,False,True
28.0,0,0,3,1,0,0,7.55,False,True
44.0,0,0,2,0,1,0,26.0,False,True
8.0,1,2,2,1,0,1,26.25,False,True
19.0,0,0,2,0,0,0,10.5,False,True
33.0,0,0,2,0,0,0,12.275,False,True
28.0,0,0,3,1,1,0,14.4542,False,False
29.0,0,0,2,0,0,0,10.5,False,True
22.0,0,0,3,0,0,0,7.125,False,True
30.0,0,0,3,0,0,0,7.225,False,False
44.0,0,0,1,0,2,0,90.0,True,False
25.0,0,0,3,1,0,0,7.775,False,True
24.0,0,2,2,1,0,1,14.5,False,True
37.0,0,1,1,0,1,1,52.5542,False,True
54.0,0,0,2,0,1,0,26.0,False,True
28.0,0,0,3,0,0,0,7.25,False,True
29.0,0,1,3,1,1,0,10.4625,False,True
62.0,0,0,1,0,0,0,26.55,False,True
30.0,0,0,3,0,1,0,16.1,False,True
41.0,0,2,3,1,0,0,20.2125,False,True
29.0,0,2,3,1,0,1,15.2458,False,False
28.0,0,0,1,1,0,1,79.2,False,False
30.0,0,0,1,1,0,1,86.5,False,True
35.0,0,0,1,1,0,1,512.3292,False,False
50.0,0,1,2,1,0,1,26.0,False,True
3.0,1,2,3,0,4,1,31.3875,False,True
52.0,0,1,1,0,1,0,79.65,False,True
40.0,0,0,1,0,0,0,0.0,False,True
28.0,0,0,3,1,0,0,7.75,True,False
36.0,0,0,2,0,0,0,10.5,False,True
16.0,0,1,3,0,4,0,39.6875,False,True
25.0,0,0,3,0,1,1,7.775,False,True
58.0,0,1,1,1,0,1,153.4625,False,True
35.0,0,0,1,1,0,1,135.6333,False,True
28.0,0,0,1,0,0,0,31.0,False,True
25.0,0,0,3,0,0,1,0.0,False,True
41.0,0,1,2,1,0,1,19.5,False,True
37.0,0,1,1,0,0,0,29.7,False,False
63.0,0,0,1,1,1,1,77.9583,False,True
45.0,0,0,3,1,0,0,7.75,False,True
28.0,0,0,2,0,0,0,0.0,False,True
7.0,1,1,3,0,4,0,29.125,True,False
35.0,0,1,3,1,1,1,20.25,False,True
65.0,0,0,3,0,0,0,7.75,True,False
28.0,0,0,3,0,0,0,7.8542,False,True
16.0,0,0,3,0,0,0,9.5,False,True
19.0,0,0,3,0,0,1,8.05,False,True
28.0,0,0,1,0,0,0,26.0,False,True
33.0,0,0,3,0,0,0,8.6625,False,False
30.0,0,0,3,0,0,1,9.5,False,True
22.0,0,0,3,0,0,0,7.8958,False,True
42.0,0,0,2,0,0,1,13.0,False,True
22.0,0,0,3,1,0,1,7.75,True,False
26.0,0,0,1,1,0,1,78.85,False,True
19.0,0,0,1,1,1,1,91.0792,False,False
36.0,0,0,2,0,0,0,12.875,False,False
24.0,0,0,3,1,0,0,8.85,False,True
24.0,0,0,3,0,0,0,7.8958,False,True
23.5,0,0,3,0,0,0,7.2292,False,False
2.0,1,2,1,1,1,0,151.55,False,True
28.0,0,0,1,0,0,1,30.5,False,True
50.0,0,1,1,1,0,1,247.5208,False,False
28.0,0,0,3,0,2,1,23.25,True,False
19.0,0,0,3,0,0,0,0.0,False,True
28.0,0,0,2,1,0,1,12.35,True,False
0.92,1,2,1,0,1,1,151.55,False,True
28.0,0,0,1,1,0,1,110.8833,False,False
17.0,0,0,1,1,1,1,108.9,False,False
30.0,0,0,2,0,1,0,24.0,False,False
30.0,0,0,1,1,0,1,56.9292,False,False
24.0,0,0,1,1,0,1,83.1583,False,False
18.0,0,2,1,1,2,1,262.375,False,False
26.0,0,1,2,1,1,0,26.0,False,True
43.0,0,1,2,0,1,0,26.25,False,True
26.0,0,0,3,1,0,1,7.8542,False,True
24.0,0,0,2,1,1,1,26.0,False,True
54.0,0,0,2,0,0,0,14.0,False,True
31.0,0,2,1,1,0,1,164.8667,False,True
40.0,0,1,1,1,1,1,134.5,False,False
27.0,0,0,3,0,0,0,7.8958,False,True
30.0,0,0,2,1,0,1,12.35,True,False
22.0,0,1,2,1,1,1,29.0,False,True
36.0,0,0,1,1,0,1,135.6333,False,False
61.0,0,0,3,0,0,0,6.2375,False,True
36.0,0,0,2,1,0,1,13.0,False,True
31.0,0,1,3,1,1,1,20.525,False,True
16.0,0,1,1,1,0,1,57.9792,False,False
28.0,0,0,3,1,2,1,23.25,True,False
45.5,0,0,1,0,0,0,28.5,False,True
38.0,0,1,1,0,0,0,153.4625,False,True
16.0,0,0,3,0,2,0,18.0,False,True
28.0,0,0,1,1,1,1,133.65,False,True
29.0,0,0,1,0,1,0,66.6,False,True
41.0,0,0,1,1,0,1,134.5,False,False
45.0,0,0,3,0,0,1,8.05,False,True
45.0,0,0,1,0,0,0,35.5,False,True
2.0,1,1,2,0,1,1,26.0,False,True
24.0,0,2,1,1,3,1,263.0,False,True
28.0,0,0,2,0,0,0,13.0,False,True
36.0,0,0,2,0,0,0,13.0,False,True
24.0,0,0,2,1,0,1,13.0,False,True
40.0,0,0,2,1,0,1,13.0,False,True
28.0,0,0,3,1,1,1,16.1,False,True
3.0,1,1,3,0,1,1,15.9,False,True
42.0,0,0,3,0,0,0,8.6625,False,True
23.0,0,0,3,0,0,0,9.225,False,True
28.0,0,0,1,0,0,0,35.0,False,True
15.0,0,1,3,0,1,0,7.2292,False,False
25.0,0,0,3,0,1,0,17.8,False,True
22.0,0,1,1,1,0,1,55.0,False,True
38.0,0,0,2,1,0,0,13.0,False,True
40.0,0,4,3,0,1,0,27.9,False,True
29.0,0,0,2,0,1,0,27.7208,False,False
45.0,0,1,3,1,0,0,14.4542,False,False
35.0,0,0,3,0,0,0,7.05,False,True
30.0,0,0,3,0,0,0,7.25,False,True
60.0,0,0,1,1,1,1,75.25,False,False
28.0,0,0,3,1,0,1,7.2292,False,False
24.0,0,0,1,1,0,1,69.3,False,False
25.0,0,0,1,0,1,1,55.4417,False,False
18.0,0,0,3,0,1,0,6.4958,False,True
19.0,0,0,3,0,0,0,8.05,False,True
22.0,0,0,1,0,0,0,135.6333,False,False
3.0,1,1,3,1,3,0,21.075,False,True
28.0,0,0,1,1,1,1,82.1708,False,False
22.0,0,0,3,1,0,1,7.25,False,True
27.0,0,2,1,0,0,0,211.5,False,False
20.0,0,0,3,0,0,0,4.0125,False,False
19.0,0,0,3,0,0,0,7.775,False,True
42.0,0,0,1,1,0,1,227.525,False,False
1.0,1,2,3,1,0,1,15.7417,False,False
32.0,0,0,3,0,0,0,7.925,False,True
35.0,0,0,1,1,1,1,52.0,False,True
18.0,0,0,2,0,0,0,73.5,False,True
1.0,1,2,3,0,5,0,46.9,False,True
28.0,0,0,3,0,0,0,7.7292,True,False
17.0,0,0,2,1,0,1,12.0,False,False
36.0,0,2,1,0,1,1,120.0,False,True
21.0,0,0,3,0,0,1,7.7958,False,True
28.0,0,0,3,0,2,0,7.925,False,True
23.0,0,0,1,1,1,1,113.275,False,False
24.0,0,2,3,1,0,1,16.7,False,True
22.0,0,0,3,0,0,0,7.7958,False,True
31.0,0,0,3,1,0,0,7.8542,False,True
46.0,0,0,2,0,0,0,26.0,False,True
23.0,0,0,2,0,0,0,10.5,False,True
28.0,0,0,2,1,0,1,12.65,False,True
39.0,0,0,3,0,0,1,7.925,False,True
26.0,0,0,3,0,0,0,8.05,False,True
21.0,0,0,3,1,1,0,9.825,False,True
28.0,0,0,3,0,1,0,15.85,False,True
20.0,0,0,3,1,0,0,8.6625,False,True
34.0,0,0,2,0,1,0,21.0,False,True
51.0,0,0,3,0,0,0,7.75,False,True
3.0,1,1,2,0,1,1,18.75,False,True
21.0,0,0,3,0,0,0,7.775,False,True
28.0,0,0,3,0,0,0,6.8583,True,False
33.0,0,0,1,1,1,1,90.0,True,False
44.0,0,0,3,0,0,1,7.925,False,True
28.0,0,0,3,1,0,0,8.05,False,True
34.0,0,1,2,1,1,1,32.5,False,True
18.0,0,2,2,1,0,1,13.0,False,True
10.0,1,2,3,1,0,0,24.15,False,True
21.0,0,0,3,0,0,0,7.7333,True,False
29.0,0,0,3,0,0,0,7.875,False,True
28.0,0,1,3,1,1,0,14.4,False,True
18.0,0,1,3,0,1,0,20.2125,False,True
28.0,0,0,2,1,1,1,26.0,False,True
19.0,0,0,2,1,0,1,26.0,False,True
