age,embarked,ischild,parch,pclass,sex,sibsp,survived,tarifa
38.0,c,0,0,1,female,1,1,71.2833
26.0,s,0,0,3,female,0,1,7.925
35.0,s,0,0,1,female,1,1,53.1
35.0,s,0,0,3,male,0,0,8.05
28.0,q,0,0,3,male,0,0,8.4583
2.0,s,1,1,3,male,3,0,21.075
27.0,s,0,2,3,female,0,1,11.1333
14.0,c,0,0,2,female,1,1,30.0708
4.0,s,1,1,3,female,1,1,16.7
58.0,s,0,0,1,female,0,1,26.55
20.0,s,0,0,3,male,0,0,8.05
39.0,s,0,5,3,male,1,0,31.275
14.0,s,0,0,3,female,0,0,7.8542
55.0,s,0,0,2,female,0,1,16.0
2.0,q,1,1,3,male,4,0,29.125
28.0,s,0,0,2,male,0,1,13.0
31.0,s,0,0,3,female,1,0,18.0
28.0,c,0,0,3,female,0,1,7.225
35.0,s,0,0,2,male,0,0,26.0
34.0,s,0,0,2,male,0,1,13.0
15.0,q,0,0,3,female,0,1,8.0292
28.0,s,0,0,1,male,0,1,35.5
8.0,s,1,1,3,female,3,0,21.075
38.0,s,0,5,3,female,1,1,31.3875
28.0,c,0,0,3,male,0,0,7.225
19.0,s,0,2,1,male,3,0,263.0
28.0,q,0,0,3,female,0,1,7.8792
28.0,s,0,0,3,male,0,0,7.8958
40.0,c,0,0,1,male,0,0,27.7208
28.0,c,0,0,1,female,1,1,146.5208
28.0,q,0,0,3,female,0,1,7.75
66.0,s,0,0,2,male,0,0,10.5
28.0,c,0,0,1,male,1,0,82.1708
42.0,s,0,0,1,male,1,0,52.0
28.0,c,0,0,3,male,0,1,7.2292
21.0,s,0,0,3,male,0,0,8.05
18.0,s,0,0,3,female,2,0,18.0
14.0,c,0,0,3,female,1,1,11.2417
40.0,s,0,0,3,female,1,0,9.475
27.0,s,0,0,2,female,1,0,21.0
28.0,c,0,0,3,male,0,0,7.8958
3.0,c,1,2,2,female,1,1,41.5792
19.0,q,0,0,3,female,0,1,7.8792
28.0,s,0,0,3,male,0,0,8.05
28.0,q,0,0,3,male,1,0,15.5
28.0,c,0,0,3,male,2,0,21.6792
18.0,s,0,0,3,female,1,0,17.8
7.0,s,1,1,3,male,4,0,39.6875
21.0,s,0,0,3,male,0,0,7.8
49.0,c,0,0,1,female,1,1,76.7292
29.0,s,0,0,2,female,1,1,26.0
65.0,c,0,1,1,male,0,0,61.9792
21.0,s,0,0,2,female,0,1,10.5
28.5,c,0,0,3,male,0,0,7.2292
5.0,s,1,2,2,female,1,1,27.75
11.0,s,1,2,3,male,5,0,46.9
22.0,c,0,0,3,male,0,0,7.2292
38.0,s,0,0,1,female,0,1,80.0
45.0,s,0,0,1,male,1,0,83.475
4.0,s,1,2,3,male,3,0,27.9
28.0,c,0,0,1,male,0,0,27.7208
28.0,c,0,1,3,male,1,1,15.2458
29.0,s,0,0,2,female,0,1,10.5
19.0,s,0,0,3,male,0,0,8.1583
17.0,s,0,2,3,female,4,1,7.925
26.0,s,0,0,3,male,2,0,8.6625
32.0,s,0,0,2,male,0,0,10.5
16.0,s,0,2,3,female,5,0,46.9
21.0,s,0,0,2,male,0,0,73.5
26.0,c,0,0,3,male,1,0,14.4542
32.0,s,0,0,3,male,0,1,56.4958
25.0,s,0,0,3,male,0,0,7.65
0.83,s,1,2,2,male,0,1,29.0
30.0,s,0,0,3,female,0,1,12.475
22.0,s,0,0,3,male,0,0,9.0
29.0,s,0,0,3,male,0,1,9.5
28.0,q,0,0,3,female,0,1,7.7875
28.0,s,0,0,1,male,0,0,47.1
17.0,s,0,0,2,female,0,1,10.5
33.0,s,0,0,3,female,3,1,15.85
16.0,s,0,3,3,male,1,0,34.375
23.0,s,0,2,1,female,3,1,263.0
24.0,s,0,0,3,male,0,0,8.05
29.0,s,0,0,3,male,0,0,8.05
20.0,s,0,0,3,male,0,0,7.8542
46.0,s,0,0,1,male,1,0,61.175
26.0,s,0,2,3,male,1,0,20.575
59.0,s,0,0,3,male,0,0,7.25
71.0,c,0,0,1,male,0,0,34.6542
23.0,c,0,1,1,male,0,1,63.3583
34.0,s,0,1,2,female,0,1,23.0
34.0,s,0,0,2,male,1,0,26.0
28.0,s,0,0,3,female,0,0,7.8958
21.0,s,0,1,1,male,0,0,77.2875
33.0,s,0,0,3,male,0,0,8.6542
37.0,s,0,0,3,male,2,0,7.925
21.0,s,0,0,3,female,0,1,7.65
28.0,s,0,0,3,male,0,1,7.775
38.0,s,0,0,3,male,0,0,7.8958
28.0,q,0,0,3,female,1,1,24.15
47.0,s,0,0,1,male,0,0,52.0
14.5,c,0,0,3,female,1,0,14.4542
22.0,s,0,0,3,male,0,0,8.05
20.0,s,0,0,3,female,1,0,9.825
17.0,c,0,0,3,female,0,0,14.4583
21.0,s,0,0,3,male,0,0,7.925
70.5,q,0,0,3,male,0,0,7.75
29.0,s,0,0,2,male,1,0,21.0
24.0,c,0,1,1,male,0,0,247.5208
2.0,s,1,2,3,female,4,0,31.275
21.0,s,0,0,2,male,2,0,73.5
32.5,c,0,0,2,male,1,0,30.0708
32.5,s,0,0,2,female,0,1,13.0
54.0,s,0,1,1,male,0,0,77.2875
12.0,c,0,0,3,male,1,1,11.2417
28.0,q,0,0,3,male,0,0,7.75
24.0,s,0,0,3,male,0,1,7.1417
28.0,c,0,1,3,female,1,1,22.3583
45.0,s,0,0,3,male,0,0,6.975
33.0,c,0,0,3,male,0,0,7.8958
20.0,s,0,0,3,male,0,0,7.05
47.0,s,0,0,3,female,1,0,14.5
25.0,s,0,0,2,male,0,0,13.0
23.0,c,0,0,2,male,0,0,15.0458
19.0,s,0,2,1,female,0,1,26.2833
37.0,s,0,0,1,male,1,0,53.1
16.0,s,0,0,3,male,0,0,9.2167
24.0,c,0,0,1,male,0,0,79.2
28.0,c,0,2,3,female,0,0,15.2458
22.0,s,0,0,3,female,0,1,7.75
24.0,s,0,0,3,female,1,1,15.85
19.0,q,0,0,3,male,0,0,6.75
18.0,s,0,0,2,male,0,0,11.5
19.0,s,0,1,2,male,1,0,36.75
27.0,s,0,0,3,male,0,1,7.7958
9.0,s,1,2,3,female,2,0,34.375
36.5,s,0,2,2,male,0,0,26.0
42.0,s,0,0,2,male,0,0,13.0
51.0,s,0,0,2,male,0,0,12.525
22.0,s,0,0,1,female,1,1,66.6
55.5,s,0,0,3,male,0,0,8.05
40.5,s,0,2,3,male,0,0,14.5
28.0,s,0,0,3,male,0,0,7.3125
51.0,c,0,1,1,male,0,0,61.3792
16.0,q,0,0,3,female,0,1,7.7333
30.0,s,0,0,3,male,0,0,8.05
28.0,s,0,0,3,male,0,0,8.6625
28.0,s,0,2,3,male,8,0,69.55
44.0,s,0,1,3,male,0,0,16.1
40.0,s,0,0,2,female,0,1,15.75
26.0,s,0,0,3,male,0,0,7.775
17.0,s,0,0,3,male,0,0,8.6625
1.0,s,1,1,3,male,4,0,39.6875
9.0,s,1,2,3,male,0,1,20.525
28.0,s,0,1,1,female,0,1,55.0
45.0,s,0,4,3,female,1,0,27.9
28.0,s,0,0,1,male,0,0,25.925
28.0,s,0,0,3,male,0,0,56.4958
61.0,s,0,0,1,male,0,0,33.5
4.0,q,1,1,3,male,4,0,29.125
1.0,s,1,1,3,female,1,1,11.1333
56.0,c,0,0,1,male,0,0,30.6958
18.0,s,0,1,3,male,1,0,7.8542
28.0,s,0,1,3,male,3,0,25.4667
50.0,c,0,0,1,female,0,0,28.7125
30.0,s,0,0,2,male,0,0,13.0
36.0,s,0,0,3,male,0,0,0.0
28.0,s,0,2,3,female,8,0,69.55
28.0,c,0,0,2,male,0,0,15.05
9.0,s,1,2,3,male,4,0,31.3875
1.0,s,1,1,2,male,2,1,39.0
4.0,s,1,2,3,female,0,1,22.025
28.0,s,0,0,1,male,0,0,50.0
28.0,q,0,0,3,female,1,1,15.5
45.0,s,0,0,1,male,0,1,26.55
40.0,q,0,1,3,male,1,0,15.5
36.0,s,0,0,3,male,0,0,7.8958
32.0,s,0,0,2,female,0,1,13.0
19.0,s,0,0,2,male,0,0,13.0
19.0,s,0,0,3,female,1,1,7.8542
3.0,s,1,1,2,male,1,1,26.0
44.0,c,0,0,1,female,0,1,27.7208
58.0,c,0,0,1,female,0,1,146.5208
42.0,s,0,1,3,male,0,0,8.4042
24.0,s,0,0,2,female,0,0,13.0
28.0,s,0,0,3,male,0,0,9.5
34.0,s,0,0,3,male,0,0,6.4958
45.5,c,0,0,3,male,0,0,7.225
18.0,s,0,0,3,male,0,1,8.05
2.0,s,1,1,3,female,0,0,10.4625
32.0,s,0,0,3,male,1,0,15.85
26.0,c,0,0,3,male,0,1,18.7875
16.0,q,0,0,3,female,0,1,7.75
40.0,c,0,0,1,male,0,1,31.0
24.0,s,0,0,3,male,0,0,7.05
35.0,s,0,0,2,female,0,1,21.0
22.0,s,0,0,3,male,0,0,7.25
28.0,q,0,0,3,male,1,0,7.75
31.0,c,0,0,1,female,1,1,113.275
27.0,s,0,0,3,female,0,1,7.925
42.0,s,0,0,2,male,1,0,27.0
32.0,c,0,0,1,female,0,1,76.2917
30.0,s,0,0,2,male,0,0,10.5
16.0,s,0,0,3,male,0,1,8.05
27.0,s,0,0,2,male,0,0,13.0
51.0,s,0,0,3,male,0,0,8.05
38.0,s,0,0,1,male,1,1,90.0
22.0,s,0,0,3,male,0,0,9.35
19.0,s,0,0,2,male,0,1,10.5
20.5,s,0,0,3,male,0,0,7.25
18.0,s,0,0,2,male,0,0,13.0
28.0,s,0,1,3,female,3,0,25.4667
35.0,s,0,0,1,female,1,1,83.475
29.0,s,0,0,3,male,0,0,7.775
59.0,s,0,0,2,male,0,0,13.5
5.0,s,1,2,3,female,4,1,31.3875
24.0,s,0,0,2,male,0,0,10.5
28.0,s,0,0,3,female,0,0,7.55
44.0,s,0,0,2,male,1,0,26.0
8.0,s,1,2,2,female,0,1,26.25
19.0,s,0,0,2,male,0,0,10.5
33.0,s,0,0,2,male,0,0,12.275
28.0,c,0,0,3,female,1,0,14.4542
29.0,s,0,0,2,male,0,0,10.5
22.0,s,0,0,3,male,0,0,7.125
30.0,c,0,0,3,male,0,0,7.225
44.0,q,0,0,1,male,2,0,90.0
25.0,s,0,0,3,female,0,0,7.775
24.0,s,0,2,2,female,0,1,14.5
37.0,s,0,1,1,male,1,1,52.5542
54.0,s,0,0,2,male,1,0,26.0
28.0,s,0,0,3,male,0,0,7.25
29.0,s,0,1,3,female,1,0,10.4625
62.0,s,0,0,1,male,0,0,26.55
30.0,s,0,0,3,male,1,0,16.1
41.0,s,0,2,3,female,0,0,20.2125
29.0,c,0,2,3,female,0,1,15.2458
28.0,c,0,0,1,female,0,1,79.2
30.0,s,0,0,1,female,0,1,86.5
35.0,c,0,0,1,female,0,1,512.3292
50.0,s,0,1,2,female,0,1,26.0
3.0,s,1,2,3,male,4,1,31.3875
52.0,s,0,1,1,male,1,0,79.65
40.0,s,0,0,1,male,0,0,0.0
28.0,q,0,0,3,female,0,0,7.75
36.0,s,0,0,2,male,0,0,10.5
16.0,s,0,1,3,male,4,0,39.6875
25.0,s,0,0,3,male,1,1,7.775
58.0,s,0,1,1,female,0,1,153.4625
35.0,s,0,0,1,female,0,1,135.6333
28.0,s,0,0,1,male,0,0,31.0
25.0,s,0,0,3,male,0,1,0.0
41.0,s,0,1,2,female,0,1,19.5
37.0,c,0,1,1,male,0,0,29.7
63.0,s,0,0,1,female,1,1,77.9583
45.0,s,0,0,3,female,0,0,7.75
28.0,s,0,0,2,male,0,0,0.0
7.0,q,1,1,3,male,4,0,29.125
35.0,s,0,1,3,female,1,1,20.25
65.0,q,0,0,3,male,0,0,7.75
28.0,s,0,0,3,male,0,0,7.8542
16.0,s,0,0,3,male,0,0,9.5
19.0,s,0,0,3,male,0,1,8.05
28.0,s,0,0,1,male,0,0,26.0
33.0,c,0,0,3,male,0,0,8.6625
30.0,s,0,0,3,male,0,1,9.5
22.0,s,0,0,3,male,0,0,7.8958
42.0,s,0,0,2,male,0,1,13.0
22.0,q,0,0,3,female,0,1,7.75
26.0,s,0,0,1,female,0,1,78.85
19.0,c,0,0,1,female,1,1,91.0792
36.0,c,0,0,2,male,0,0,12.875
24.0,s,0,0,3,female,0,0,8.85
24.0,s,0,0,3,male,0,0,7.8958
23.5,c,0,0,3,male,0,0,7.2292
2.0,s,1,2,1,female,1,0,151.55
28.0,s,0,0,1,male,0,1,30.5
50.0,c,0,1,1,female,0,1,247.5208
28.0,q,0,0,3,male,2,1,23.25
19.0,s,0,0,3,male,0,0,0.0
28.0,q,0,0,2,female,0,1,12.35
0.92,s,1,2,1,male,1,1,151.55
28.0,c,0,0,1,female,0,1,110.8833
17.0,c,0,0,1,female,1,1,108.9
30.0,c,0,0,2,male,1,0,24.0
30.0,c,0,0,1,female,0,1,56.9292
24.0,c,0,0,1,female,0,1,83.1583
18.0,c,0,2,1,female,2,1,262.375
26.0,s,0,1,2,female,1,0,26.0
43.0,s,0,1,2,male,1,0,26.25
26.0,s,0,0,3,female,0,1,7.8542
24.0,s,0,0,2,female,1,1,26.0
54.0,s,0,0,2,male,0,0,14.0
31.0,s,0,2,1,female,0,1,164.8667
40.0,c,0,1,1,female,1,1,134.5
27.0,s,0,0,3,male,0,0,7.8958
30.0,q,0,0,2,female,0,1,12.35
22.0,s,0,1,2,female,1,1,29.0
36.0,c,0,0,1,female,0,1,135.6333
61.0,s,0,0,3,male,0,0,6.2375
36.0,s,0,0,2,female,0,1,13.0
31.0,s,0,1,3,female,1,1,20.525
16.0,c,0,1,1,female,0,1,57.9792
28.0,q,0,0,3,female,2,1,23.25
45.5,s,0,0,1,male,0,0,28.5
38.0,s,0,1,1,male,0,0,153.4625
16.0,s,0,0,3,male,2,0,18.0
28.0,s,0,0,1,female,1,1,133.65
29.0,s,0,0,1,male,1,0,66.6
41.0,c,0,0,1,female,0,1,134.5
45.0,s,0,0,3,male,0,1,8.05
45.0,s,0,0,1,male,0,0,35.5
2.0,s,1,1,2,male,1,1,26.0
24.0,s,0,2,1,female,3,1,263.0
28.0,s,0,0,2,male,0,0,13.0
36.0,s,0,0,2,male,0,0,13.0
24.0,s,0,0,2,female,0,1,13.0
40.0,s,0,0,2,female,0,1,13.0
28.0,s,0,0,3,female,1,1,16.1
3.0,s,1,1,3,male,1,1,15.9
42.0,s,0,0,3,male,0,0,8.6625
23.0,s,0,0,3,male,0,0,9.225
28.0,s,0,0,1,male,0,0,35.0
15.0,c,0,1,3,male,1,0,7.2292
25.0,s,0,0,3,male,1,0,17.8
22.0,s,0,1,1,female,0,1,55.0
38.0,s,0,0,2,female,0,0,13.0
40.0,s,0,4,3,male,1,0,27.9
29.0,c,0,0,2,male,1,0,27.7208
45.0,c,0,1,3,female,0,0,14.4542
35.0,s,0,0,3,male,0,0,7.05
30.0,s,0,0,3,male,0,0,7.25
60.0,c,0,0,1,female,1,1,75.25
28.0,c,0,0,3,female,0,1,7.2292
24.0,c,0,0,1,female,0,1,69.3
25.0,c,0,0,1,male,1,1,55.4417
18.0,s,0,0,3,male,1,0,6.4958
19.0,s,0,0,3,male,0,0,8.05
22.0,c,0,0,1,male,0,0,135.6333
3.0,s,1,1,3,female,3,0,21.075
28.0,c,0,0,1,female,1,1,82.1708
22.0,s,0,0,3,female,0,1,7.25
27.0,c,0,2,1,male,0,0,211.5
20.0,c,0,0,3,male,0,0,4.0125
19.0,s,0,0,3,male,0,0,7.775
42.0,c,0,0,1,female,0,1,227.525
1.0,c,1,2,3,female,0,1,15.7417
32.0,s,0,0,3,male,0,0,7.925
35.0,s,0,0,1,female,1,1,52.0
18.0,s,0,0,2,male,0,0,73.5
1.0,s,1,2,3,male,5,0,46.9
28.0,q,0,0,3,male,0,0,7.7292
17.0,c,0,0,2,female,0,1,12.0
36.0,s,0,2,1,male,1,1,120.0
21.0,s,0,0,3,male,0,1,7.7958
28.0,s,0,0,3,male,2,0,7.925
23.0,c,0,0,1,female,1,1,113.275
24.0,s,0,2,3,female,0,1,16.7
22.0,s,0,0,3,male,0,0,7.7958
31.0,s,0,0,3,female,0,0,7.8542
46.0,s,0,0,2,male,0,0,26.0
23.0,s,0,0,2,male,0,0,10.5
28.0,s,0,0,2,female,0,1,12.65
39.0,s,0,0,3,male,0,1,7.925
26.0,s,0,0,3,male,0,0,8.05
21.0,s,0,0,3,female,1,0,9.825
28.0,s,0,0,3,male,1,0,15.85
20.0,s,0,0,3,female,0,0,8.6625
34.0,s,0,0,2,male,1,0,21.0
51.0,s,0,0,3,male,0,0,7.75
3.0,s,1,1,2,male,1,1,18.75
21.0,s,0,0,3,male,0,0,7.775
28.0,q,0,0,3,male,0,0,6.8583
33.0,q,0,0,1,female,1,1,90.0
44.0,s,0,0,3,male,0,1,7.925
28.0,s,0,0,3,female,0,0,8.05
34.0,s,0,1,2,female,1,1,32.5
18.0,s,0,2,2,female,0,1,13.0
10.0,s,1,2,3,female,0,0,24.15
21.0,q,0,0,3,male,0,0,7.7333
29.0,s,0,0,3,male,0,0,7.875
28.0,s,0,1,3,female,1,0,14.4
18.0,s,0,1,3,male,1,0,20.2125
28.0,s,0,0,2,female,1,1,26.0
19.0,s,0,0,2,female,0,1,26.0
